Male,Female,cBacilli,cBacteroidia,cBetaproteobacteria,cClostridia,cGammaproteobacteria,cActinobacteria,cFusobacteria,cFlavobacteriia,cSphingobacteriia,cDeltaproteobacteria,cEpsilonproteobacteria,cAlphaproteobacteria,cSpirochaetes,cErysipelotrichi,cThermotogae,cNostocophycideae,cMollicutes,cChlamydiia,cSynergistia,cDeinococci,cAnaerolineae,cThermoprotei,cOscillatoriophycideae,cThermodesulfobacteria,cDeferribacteres,cGroup II,cOpitutae,cCaldithrixae,cNitriliruptoria,cThermobacula,cFibrobacteria,cAcidimicrobiia,cSynechococcophycideae,cNitrospira,cHolophagae,cKtedonobacteria,cBrocadiae,cAcidobacteria,cChrysiogenetes,cDehalococcoidetes,cVerrucomicrobiae,cLeptospirae,cMethanomicrobia,cMethanobacteria,cChlorobia,cChloroflexi,cThermoleophilia,cHalobacteria,cMethylacidiphilae,cArchaeoglobi,cPedosphaerae,cPlanctomycetia,cSolibacteres,cArmatimonadia,cBrachyspirae,cCaldisericia,cSpartobacteria
1,0,2835,426,2498,898,664,215,207,203,27,0,22,0,6,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1212,982,1836,699,646,184,436,263,26,0,93,1,0,22,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1062,992,298,1316,100,184,74,89,42,0,45,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1253,955,453,2997,306,303,432,104,1,0,28,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,26825,11152,9711,12119,4669,1362,5587,1098,445,6,258,2,12,58,0,0,23,0,5,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1911,1093,397,1223,516,194,63,54,2,0,39,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,29038,3893,17413,14739,2916,6009,3955,2465,24,4,94,0,10,140,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1645,1121,72,2205,91,341,75,82,5,0,29,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1294,404,713,1898,160,158,825,251,11,6,14,0,5,13,0,0,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2394,149,161,1553,93,353,129,79,5,1,5,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,8920,13503,3637,41999,3693,7097,4665,2009,36,8,1889,1,33,79,1,2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,938,397,265,3463,153,614,177,210,58,0,187,1,5,52,0,0,11,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,40,8,17,37,5,10,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1134,1213,377,2848,131,249,543,104,4,0,23,1,4,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2637,482,486,373,893,312,233,73,1,0,45,1,22,10,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21176,4943,6095,17523,751,1193,1336,337,15,2,582,0,10,78,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2456,256,38,1743,213,273,420,212,2,0,5,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3230,233,117,1468,157,667,65,19,0,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2417,892,989,3935,161,987,69,182,41,0,24,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,21349,6031,4006,16818,1678,1205,3343,1109,34,2,139,1,31,109,0,1,7,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17716,20114,2596,9813,7328,2992,1460,1411,248,3,434,1,52,216,0,1,28,0,4,1,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,708,1308,282,2489,345,331,353,70,3,0,34,0,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1163,932,356,1561,446,397,363,145,41,0,87,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1423,749,1038,1191,677,337,116,193,24,0,57,1,2,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2315,810,258,1973,661,1030,446,227,0,0,85,0,14,3,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1070,422,827,547,1605,513,202,396,1,1,75,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1731,1324,1726,1925,2625,363,228,138,2,0,94,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,26800,2381,5769,1075,14076,1317,1260,1744,204,2,80,2,111,1,0,1,3,0,6,2,0,0,3,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
