ID,Bacilli,Clostridia,Bacteroidia,Betaproteobacteria,Gammaproteobacteria,Actinobacteria,Fusobacteria,Flavobacteriia,Epsilonproteobacteria,Sphingobacteriia,Erysipelotrichi,Deltaproteobacteria,Spirochaetes,Mollicutes,Nostocophycideae,Alphaproteobacteria,Chlamydiia,Group II,Deinococci,Oscillatoriophycideae,Opitutae,Ktedonobacteria,Anaerolineae,Synergistia,Nitriliruptoria,Acidobacteria,Thermotogae,Synechococcophycideae,Fibrobacteria,Brocadiae,Deferribacteres,Holophagae,Thermodesulfobacteria,Thermoprotei,Caldithrixae,Nitrospira,Dehalococcoidetes,Leptospirae,Acidimicrobiia,Verrucomicrobiae,Archaeoglobi,Chlorobia,Chrysiogenetes,Methylacidiphilae,Spartobacteria,Planctomycetia,Thermobacula,Methanomicrobia,Gemmatimonadetes,Thermoleophilia,Chloroflexi,Armatimonadia
15036B,26348,18912,14068,2880,9123,10356,1838,898,624,74,96,72,17,41,31,36,32,1,8,4,5,1,5,2,3,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15035A,18129,9191,4914,2273,6213,5771,1730,468,140,44,33,35,7,37,50,12,6,1,7,6,4,12,7,4,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15033B,6030,3962,3728,2243,15981,857,1605,779,364,167,16,149,169,36,26,34,17,17,8,13,4,7,10,48,1,1,1,3,1,1,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15032B,45067,11342,25400,5560,8775,3883,1747,1700,434,254,209,153,45,97,60,59,70,280,21,16,13,16,5,4,2,6,3,4,3,2,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15032A,16489,10578,17973,3513,6006,1636,1374,813,260,102,70,66,28,48,36,24,28,0,7,13,6,11,7,10,1,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15031B,8121,6746,8371,2432,6704,1603,659,603,361,119,77,76,16,50,29,36,39,38,9,6,8,6,8,2,1,1,0,1,4,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15031A,9498,10232,10905,3248,8274,1772,1074,763,358,104,117,68,49,66,20,23,22,1,5,3,7,4,7,2,2,1,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15030Z,39759,23122,7684,5293,4145,3453,2253,1672,84,77,328,62,6,43,47,24,12,0,11,7,6,9,4,6,4,6,0,1,0,1,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15030A,23970,9979,5392,3477,1830,2157,1110,768,66,75,138,89,6,78,89,41,31,8,21,18,10,13,6,4,6,7,0,2,1,2,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15029B,9707,18557,8299,1350,3124,2614,1178,708,277,78,72,47,35,50,61,18,15,5,10,3,2,1,4,5,2,0,2,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15029A,15688,37335,14990,2383,6996,5136,2267,1187,582,108,126,68,45,87,144,19,21,2,10,5,3,4,4,7,4,1,1,0,0,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15027B,13653,6181,6051,6197,3038,2397,3754,876,134,155,51,61,38,28,21,27,6,12,8,8,1,2,3,3,0,2,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
