Male,Female,cBacilli,cBacteroidia,cBetaproteobacteria,cClostridia,cGammaproteobacteria,cActinobacteria,cFusobacteria,cFlavobacteriia,cSphingobacteriia,cDeltaproteobacteria,cEpsilonproteobacteria,cAlphaproteobacteria,cSpirochaetes,cErysipelotrichi,cThermotogae,cNostocophycideae,cMollicutes,cChlamydiia,cSynergistia,cDeinococci,cAnaerolineae,cThermoprotei,cOscillatoriophycideae,cThermodesulfobacteria,cDeferribacteres,cGroup II,cOpitutae,cCaldithrixae,cNitriliruptoria,cThermobacula,cFibrobacteria,cAcidimicrobiia,cSynechococcophycideae,cNitrospira,cHolophagae,cKtedonobacteria,cBrocadiae,cAcidobacteria,cChrysiogenetes,cDehalococcoidetes,cVerrucomicrobiae,cLeptospirae,cMethanomicrobia,cMethanobacteria,cChlorobia,cChloroflexi,cThermoleophilia,cHalobacteria,cMethylacidiphilae,cArchaeoglobi,cPedosphaerae,cPlanctomycetia,cSolibacteres,cArmatimonadia,cBrachyspirae,cCaldisericia,cSpartobacteria
0,1,5.148208332,3.707407475,1.691001311,2.638426193,1.018865924,0.56124183,0.13579443,-0.028664228,-0.128769499,-0.250325899,-0.250325899,-0.257476275,-0.293228158,-0.286077781,-0.278927405,-0.303953722,-0.282502593,-0.307528911,-0.314679287,-0.311104099,-0.307528911,-0.307528911,-0.307528911,-0.311104099,-0.314679287,-0.311104099,-0.314679287,-0.314679287,-0.314679287,-0.311104099,-0.314679287,-0.311104099,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287,-0.314679287
0,1,4.022034097,4.049964464,3.058436436,2.087856183,1.976134715,0.359664726,0.565651182,-0.027869116,-0.129116697,-0.20243391,-0.32113797,-0.265277236,-0.317646674,-0.310664082,-0.289716307,-0.317646674,-0.324629265,-0.328120561,-0.338594449,-0.335103153,-0.335103153,-0.342085745,-0.342085745,-0.338594449,-0.328120561,-0.328120561,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.338594449,-0.342085745,-0.342085745,-0.338594449,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745,-0.342085745
0,1,4.38843007,4.741752516,2.424850732,1.820953633,0.797130776,0.328470889,0.087643061,-0.093485457,-0.199076073,-0.26283656,-0.259993736,-0.281924094,-0.282330212,-0.284360801,-0.293295392,-0.296138216,-0.29004645,-0.297762687,-0.301011629,-0.298574922,-0.300199393,-0.301417747,-0.299387158,-0.299387158,-0.300605511,-0.287203625,-0.299793276,-0.300605511,-0.301417747,-0.300605511,-0.301823864,-0.302229982,-0.302229982,-0.302229982,-0.301823864,-0.302229982,-0.302229982,-0.301417747,-0.301823864,-0.302229982,-0.302229982,-0.302229982,-0.302229982,-0.301823864,-0.302229982,-0.302229982,-0.302229982,-0.302229982,-0.302229982,-0.302229982,-0.302229982,-0.302229982,-0.302229982,-0.302229982,-0.302229982,-0.302229982,-0.302229982
1,1,2.268535906,4.227988904,5.047216249,1.801291263,0.45285049,0.250832249,0.019068991,-0.220130521,-0.128416718,-0.233763654,-0.282099306,-0.253593665,-0.285817434,-0.284578058,-0.278381179,-0.283338682,-0.282099306,-0.280859931,-0.288296185,-0.282099306,-0.287056809,-0.284578058,-0.288296185,-0.285817434,-0.288296185,-0.280859931,-0.289535561,-0.289535561,-0.289535561,-0.288296185,-0.289535561,-0.289535561,-0.289535561,-0.288296185,-0.288296185,-0.289535561,-0.288296185,-0.289535561,-0.289535561,-0.288296185,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561,-0.289535561
0,0,4.525603924,1.578383591,5.267182269,1.346711976,0.25243098,0.101673837,-0.134870402,-0.098196677,-0.226758602,-0.238300115,-0.255736265,-0.24329662,-0.225339141,-0.263422004,-0.258466793,-0.239156954,-0.259669464,-0.262658076,-0.252303749,-0.264934376,-0.264934376,-0.264655646,-0.263736867,-0.265672496,-0.266008005,-0.266044137,-0.266106077,-0.265450544,-0.266260928,-0.266379646,-0.266426101,-0.266307383,-0.266343514,-0.266415778,-0.266348676,-0.265817023,-0.266328029,-0.266426101,-0.266322868,-0.266395131,-0.266410616,-0.26642094,-0.26648288,-0.266508688,-0.26648288,-0.266498365,-0.26651385,-0.26651385,-0.26651385,-0.266519011,-0.266519011,-0.266519011,-0.266519011,-0.266519011,-0.266519011,-0.266519011,-0.266519011
0,1,1.818511916,5.758794859,-0.182816023,3.745222207,-0.136795927,1.53576827,-0.166190068,-0.226912925,-0.221097824,-0.234196026,-0.237837577,-0.2390666,-0.247692523,-0.219846041,-0.239544553,-0.243140585,-0.245473453,-0.24572381,-0.250560244,-0.248557391,-0.249649856,-0.248796368,-0.250457825,-0.25010505,-0.250025391,-0.250548864,-0.250594384,-0.250196089,-0.250036771,-0.249911593,-0.250605763,-0.250537484,-0.249627097,-0.250583004,-0.25089026,-0.250924399,-0.250821981,-0.250730942,-0.250548864,-0.250935779,-0.25087888,-0.250958539,-0.250969919,-0.250947159,-0.250913019,-0.250947159,-0.250935779,-0.250947159,-0.250981298,-0.250981298,-0.250981298,-0.250969919,-0.250981298,-0.250981298,-0.250981298,-0.250981298,-0.250981298
1,1,5.155539019,2.206975905,4.014159749,1.073426219,1.478244679,0.875076773,-0.154948422,-0.19351637,-0.239333932,-0.24426367,-0.289501263,-0.266302497,-0.293851032,-0.290951186,-0.288921294,-0.289501263,-0.29501097,-0.292691093,-0.299070754,-0.292691093,-0.297330846,-0.297330846,-0.297620831,-0.298780769,-0.299070754,-0.298780769,-0.298490785,-0.298490785,-0.298490785,-0.299360738,-0.299360738,-0.299360738,-0.299650723,-0.299650723,-0.299650723,-0.299360738,-0.299650723,-0.299650723,-0.299650723,-0.299360738,-0.299650723,-0.299650723,-0.299360738,-0.299650723,-0.299650723,-0.299650723,-0.299650723,-0.299650723,-0.299650723,-0.299650723,-0.299650723,-0.299650723,-0.299650723,-0.299650723,-0.299650723,-0.299650723,-0.299650723
0,0,4.731924044,3.921882232,2.241975162,1.86201543,2.156282116,0.432720098,0.122284913,-0.052334879,-0.197851372,-0.220487271,-0.277077018,-0.268992769,-0.312647717,-0.311030867,-0.304563467,-0.304563467,-0.309414017,-0.314264567,-0.322348816,-0.311030867,-0.320731966,-0.322348816,-0.322348816,-0.319115116,-0.323965666,-0.322348816,-0.320731966,-0.322348816,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.322348816,-0.323965666,-0.323965666,-0.322348816,-0.323965666,-0.323965666,-0.320731966,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666,-0.323965666
0,1,5.633515398,2.474804112,1.568043393,3.098684688,1.138739432,0.607514387,0.147184863,-0.070134474,-0.156893744,-0.211223578,-0.265413025,-0.248426177,-0.291244264,-0.268922704,-0.279872903,-0.296719363,-0.276784385,-0.296438589,-0.309073434,-0.301913689,-0.30135214,-0.304159883,-0.299246332,-0.304581045,-0.306827239,-0.308511885,-0.307108014,-0.307529175,-0.307669562,-0.307529175,-0.30879266,-0.308933047,-0.308933047,-0.308231111,-0.308652273,-0.308511885,-0.309073434,-0.308371498,-0.308231111,-0.308652273,-0.30879266,-0.309073434,-0.308933047,-0.308652273,-0.309213821,-0.308933047,-0.30879266,-0.309213821,-0.309213821,-0.309213821,-0.309213821,-0.309213821,-0.309213821,-0.309213821,-0.309213821,-0.309213821,-0.309213821
0,1,5.036312899,3.546473776,0.891797127,3.298995496,0.942236977,1.018517933,0.053700503,-0.103830852,-0.161227923,-0.205207497,-0.264840818,-0.254156514,-0.296893727,-0.255647347,-0.261362207,-0.291924284,-0.286209424,-0.28919109,-0.311802057,-0.305093309,-0.307826503,-0.306832614,-0.308074975,-0.305838725,-0.307081086,-0.311305113,-0.310311224,-0.309068864,-0.310559697,-0.310311224,-0.311553585,-0.310559697,-0.310311224,-0.311305113,-0.311305113,-0.311802057,-0.311802057,-0.311056641,-0.310062752,-0.311305113,-0.311553585,-0.311305113,-0.311802057,-0.311802057,-0.311802057,-0.31205053,-0.311802057,-0.31205053,-0.31205053,-0.311802057,-0.31205053,-0.31205053,-0.31205053,-0.31205053,-0.31205053,-0.31205053,-0.31205053
0,1,5.430333879,2.609049741,0.29421119,4.006552892,0.052932868,0.141321956,0.255988881,0.186710947,-0.260012282,-0.264790071,-0.205067714,-0.267178965,-0.267178965,-0.226567762,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.264790071,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965,-0.267178965
1,1,7.09167418,0.017767547,-0.110744314,1.928182679,-0.135679451,0.334251982,0.077228259,0.192313508,-0.187467813,-0.193222076,-0.189385901,-0.193222076,-0.193222076,-0.135679451,-0.193222076,-0.193222076,-0.191303988,-0.193222076,-0.193222076,-0.191303988,-0.193222076,-0.191303988,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076,-0.193222076
1,0,2.315472928,2.295219369,0.783435842,5.258749085,1.061922281,1.072772402,2.980585345,0.292287032,-0.238645556,-0.352210156,0.364621172,-0.352210156,-0.073723717,-0.331594926,-0.353656839,-0.229965459,-0.351848485,-0.353656839,-0.352933497,-0.352571827,-0.353656839,-0.353656839,-0.352933497,-0.353656839,-0.353656839,-0.353295168,-0.352210156,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.352933497,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839,-0.353656839
0,0,6.537042329,1.785314367,1.29143812,1.27679084,0.916993544,-0.101180223,1.395095796,0.460298855,-0.186434906,-0.279952157,-0.194697475,-0.282581156,-0.226621034,-0.266807162,-0.282581156,-0.282205585,-0.26906059,-0.282581156,-0.278074301,-0.282205585,-0.282205585,-0.279952157,-0.282581156,-0.282205585,-0.282581156,-0.282581156,-0.278825444,-0.282581156,-0.282205585,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156,-0.282581156
0,1,5.332991796,2.526611106,1.301729497,2.591038822,2.421664397,0.669532538,1.133110085,-0.097559951,-0.320540248,-0.327587029,-0.210308453,-0.327335359,-0.28178295,-0.316513516,-0.3278387,-0.327335359,-0.327587029,-0.3278387,-0.326832017,-0.327587029,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387,-0.3278387
0,1,5.163468486,2.995716945,2.6939192,2.005950148,2.022175833,0.208144228,0.37040108,-0.132595161,-0.281871465,-0.311077698,-0.29809715,-0.314322835,-0.314322835,-0.294852013,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.311077698,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835,-0.314322835
0,1,6.925116775,0.978569927,1.225741947,0.92501599,1.246339616,0.311205473,0.300906639,0.119647158,-0.230513204,-0.249051106,-0.117226028,-0.249051106,-0.242871805,-0.240812038,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.244931572,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.249051106,-0.246991339,-0.249051106,-0.249051106,-0.249051106,-0.249051106
1,1,5.994723865,2.765909187,0.625050455,2.601107012,1.035224757,0.368168335,0.413423535,-0.02552575,-0.259126294,-0.282669462,-0.232705628,-0.283454234,-0.274821739,-0.259126294,-0.283454234,-0.282931052,-0.282669462,-0.283454234,-0.283192643,-0.283192643,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283192643,-0.283454234,-0.283192643,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234,-0.283454234
